Brand,Status,PartNumber,SIM,PIN,CellTech,Activation Zip,New Zip
WFM,New,WFMAPI8G64GDP5P,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
WFM,New,WFMAPI8PG64SVR5,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
WFM,New,WFMLML413DGWHP5,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
WFM,New,WFMZEZ970GR,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
WFM,New,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0024,GSM,7054,33178
WFM,New,WFMZEZ557BGWHP5,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
WFM,New,WFMZEZ557BGRCS,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
WFM,New,WFMSAG965U1GRCS5,WA128PSIMT5N,WFMAPPU0039,GSM,33178,33178
WFM,New,WFMSAG960U1GR,WA128PSIMT5N,WFMAPPU0049,GSM,33178,33178
WFM,New,WFMZEZ610DGRCS5,WA128PSIMT5N,WFMAPPU0029,GSM,33178,33178
GO_SMART,New,PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0025,GSM,33178,33178
GO_SMART,New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0065ILD,GSM,33178,33178
TOTAL_WIRELESS,New,TWSAN950U1CP,TF256PSIMV9N,TWAPP00060,CDMA,33178,33178
TOTAL_WIRELESS,New,TWZEZ986DCDG,TF256PSIMV9N,TWAPP00060,CDMA,33178,33178
TOTAL_WIRELESS,New,TWAPI8C64SVPWP.2,TF256PSIMV9N,TWAPP00085,CDMA,33178,33178
TOTAL_WIRELESS,New,TWAPI8PC64SV,TF256PSIMV9N,TWAPP00110,CDMA,33178,33178
TOTAL_WIRELESS,New,TWZEZ558VCPWP,TF256PSIMV9N,TWAPP00085,CDMA,33178,33178
TOTAL_WIRELESS,New,TWAPIXC64GYP.2,TF256PSIMV9N,TWAPP00110,CDMA,33178,33178
TOTAL_WIRELESS,New,TWLML413DCPSP,TF256PSIMV9N,TWAPP00060,CDMA,33178,33178
TOTAL_WIRELESS,New,TWSAG965U1CR,TF256PSIMV9N,TWAPP00060,CDMA,33178,33178
TOTAL_WIRELESS,New,TWSAG960U1CRCS,TF256PSIMV9N,TWAPP00085,CDMA,33178,33178
TOTAL_WIRELESS,New,TWZEZ610DCRCS,TF256PSIMV9N,TWAPP00110,CDMA,33178,33178
SIMPLE_MOBILE,New,SMAPIXG64GY,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33178
SIMPLE_MOBILE,New,SMZEZ557BGP5ET3,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33178
SIMPLE_MOBILE,New,PHSM64PSIMT5MB,SM64PSIMT5B,SMNAPP0040UNL,GSM,33178,33178
SIMPLE_MOBILE,New,SMSAN950U1GFDP5,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33122
SIMPLE_MOBILE,New,SMAPI8G64GD,SM128PSIMT5N,SMNAPP30060,GSM,33178,33122
SIMPLE_MOBILE,New,SMAPI8PG64GDP5,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33122
SIMPLE_MOBILE,New,SMLML413DGP5ET5,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33178
SIMPLE_MOBILE,New,SMSAG965U1GP,SM128PSIMT5N,SMNAPP30060,GSM,33178,33122
SIMPLE_MOBILE,New,SMSAG960U1GR,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33122
SIMPLE_MOBILE,New,SMZEZ610DGKP5,SM128PSIMT5N,SMNAPP0040UNL,GSM,33178,33178
NET10,New,NTMTXT555CP,,NTPU0001,CDMA,33178,33178
NET10,New,NTAPI6G64SVR,TF128PSIMC4N,NTPU0065ILDS,GSM,33178,33178
NET10,New,NTZEZ798BGP4P,TF128PSIMC4RM,NTAPP60060ILDUP,GSM,33178,33178
STRAIGHT_TALK,New,STZEZ558VCP,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
STRAIGHT_TALK,New,STAPIXC64SVR.2,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
STRAIGHT_TALK,New,STAPIXG64GYP,TF128PSIMC4N,STAPP20055,GSM,33178,33178
STRAIGHT_TALK,New,STSAG955UC,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
STRAIGHT_TALK,New,STSAG950UCGYR,TF256PSIMV9N,NTAPPMP00060ILD,CDMA,33178,33178
STRAIGHT_TALK,New,STSAN950U1GWHP7,TF128PSIMCL7N,NTAPPMP00060ILD,GSM,692,692
STRAIGHT_TALK,New,STSAN950U1CR,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
STRAIGHT_TALK,New,STAPI8G64GDP,TF128PSIMC4N,STAPP20055,GSM,33178,33178
STRAIGHT_TALK,New,STAPI8C64GDR.2,TF256PSIMV9N,NTAPPMP000451Y,CDMA,33178,33178
STRAIGHT_TALK,New,STAPI8PG64GDP4,TF128PSIMC4N,NTAPPMP00060ILD,GSM,33178,33178
STRAIGHT_TALK,New,STAPI8PC64GD2R.2,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
STRAIGHT_TALK,New,STZEZ557BGWHP,TF128PSIMC4N,STAPP20055,GSM,33178,33178
STRAIGHT_TALK,New,STZEZ557BGWHP7,TF128PSIMC4N,STAPP20055,GSM,33178,33178
STRAIGHT_TALK,New,STLML413DGP5,TF128PSIMT5N,STAPP20055,GSM,33178,33178
STRAIGHT_TALK,New,STLML413DCPWP,TF256PSIMV9N,NTAPPMP00060ILD,CDMA,33178,33178
STRAIGHT_TALK,New,STSAG965U1GRCS4,TF128PSIMC4N,NTAPPMP000451Y,GSM,33178,33178
STRAIGHT_TALK,New,STSAG965U1CP,TF256PSIMV9N,NTAPPMP00060ILD,CDMA,33178,33178
STRAIGHT_TALK,New,STSAG960U1GWHP4,TF128PSIMC4N,STAPP20055,GSM,33178,33178
STRAIGHT_TALK,New,STSAG960U1C2R,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
STRAIGHT_TALK,New,STZEZ610DG2R7,TF128PSIMCL7N,STAPP20055,GSM,692,692
STRAIGHT_TALK,New,STZEZ610DCRCS,TF256PSIMV9N,STAPP20055,CDMA,33178,33178
TELCEL,New,TCZEZ930GP5,TF64PSIMT5RM,TCAPP00035ILD,GSM,33178,33178
TELCEL,New,TCZEZ861BGP5DG,TF128PSIMT5N,TCAPP00055ILD,GSM,33178,33178
TRACFONE,New,TFMTXT830CPDU,,TSAPP40060,CDMA,33178,33178
TRACFONE,New,TFZEZ899VCPWP,TF256PSIMV9RM,TFSAPP1SPH200,CDMA,33178,33178
TRACFONE,New,TFZEZ719DCPAS,TF256PSIMV9N,TFSAPP1SPH750,CDMA,33178,33178
TRACFONE,New,TFZEZ558VCPAP7,TF256PSIMV9N,TFSAPP1SPH750,CDMA,33178,33178
TRACFONE,New,TFLML413DGP5,TF128PSIMT5N,TFSAPP1SPH200,GSM,33178,33178
TRACFONE,New,TFLML413DC2R,TF256PSIMV9N,TFSAPP1SPH750,CDMA,33178,33178
TRACFONE,New,TFZEZ610DGRCS7,TF128PSIMCL7N,TFSAPP1SPH200,GSM,692,692
TRACFONE,New,TFZEZ610DCPWP,TF256PSIMV9N,TFSAPP1SPH750,CDMA,33178,33178
