Brand,Status,PartNumber,SIM,ZipCode,Option,Reason,Service Days,Cell Tech
SIMPLE_MOBILE,New,SMAPIXG64GYP5P,SM128PSIMT5N,33178,Supervisor Approval,Activation/Reactivation Failure,25,GSM
SIMPLE_MOBILE,New,SMZEZ716BG3P5,SM128PSIMT5RM,33178,Reference Esn,Activation/Reactivation Failure,15,GSM
SIMPLE_MOBILE,New,SMZEZ232TGGY,SM128PSIMT5RM,33178,Supervisor Approval,Redemption Failure,15,GSM
SIMPLE_MOBILE,New,SMZEZ557BGP5DG,SM128PSIMT5N,33178,Reference Esn,Upgrade Failure,20,GSM
SIMPLE_MOBILE,New,SMZEZ557BGP5DU,SM128PSIMT5N,33178,Supervisor Approval,Redemption Failure,20,GSM
SIMPLE_MOBILE,New,SMSAN950U1GP5DG,SM128PSIMT5N,33178,Supervisor Approval,Redemption Failure,20,GSM
SIMPLE_MOBILE,New,SMAPI8G64GDP5P,SM128PSIMT5N,33178,Reference Esn,Upgrade Failure,20,GSM
SIMPLE_MOBILE,New,SMAPI8PG64SVP5P,SM128PSIMT5N,33178,Supervisor Approval,Redemption Failure,20,GSM
SIMPLE_MOBILE,New,SMLML413DGR5,SM128PSIMT5N,33178,Supervisor Approval,Redemption Failure,15,GSM
SIMPLE_MOBILE,New,SMSAG965U1GP5SP,SM128PSIMT5N,33178,Reference Esn,Upgrade Failure,20,GSM
SIMPLE_MOBILE,New,SMSAG960U1GWHP5,SM128PSIMT5N,33178,Supervisor Approval,Redemption Failure,20,GSM
SIMPLE_MOBILE,New,SMZEZ610DGR5,SM128PSIMT5N,33178,Supervisor Approval,Redemption Failure,15,GSM
GO_SMART,New,PHGS128PSIMT5ND,GS128PSIMT5ND,33178,Reference Esn,Activation/Reactivation Failure,15,GSM
GO_SMART,New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,Supervisor Approval,Redemption Failure,15,GSM
GO_SMART,New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,Reference Esn,Upgrade Failure,20,GSM
STRAIGHT_TALK,New,STZEZ558VC,TF256PSIMV9N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,CDMA
STRAIGHT_TALK,New,STAPIXC64SVPWP.2,TF256PSIMV9N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,CDMA
STRAIGHT_TALK,New,STAPIXG64SVR4,TF128PSIMC4N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
STRAIGHT_TALK,New,PHST128PSIMC4ND,TF128PSIMC4ND,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
STRAIGHT_TALK,New,STZEZ750C,,33178,Reference Esn,Activation/Reactivation Failure,15,CDMA
STRAIGHT_TALK,New,STAPI6SG16GDP4,TF128PSIMC4N,33178,Supervisor Approval,Redemption Failure,20,GSM
STRAIGHT_TALK,New,STSAS959GP4,TF128PSIMC4RM,33178,Reference Esn,Upgrade Failure,10,GSM
STRAIGHT_TALK,New,STZEZ899VCP,TF256PSIMV9RM,33178,Reference Esn,Upgrade Failure,20,CDMA
STRAIGHT_TALK,New,STZEZ719DGRCS4,TF128PSIMC4N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
STRAIGHT_TALK,New,STZEZ719DGRCS5,TF128PSIMT5N,33178,Reference Esn,Activation/Reactivation Failure,15,GSM
STRAIGHT_TALK,New,STZEZ719DGRCS7,TF128PSIMCL7N,692,Supervisor Approval,Redemption Failure,20,GSM
STRAIGHT_TALK,New,STZEZ719DCP,TF256PSIMV9N,33178,Reference Esn,Upgrade Failure,10,CDMA
STRAIGHT_TALK,New,STAPI8G64SVP4,TF128PSIMC4N,33178,Reference Esn,Upgrade Failure,20,GSM
STRAIGHT_TALK,New,STAPI8C64GYP.2,TF256PSIMV9N,33178,Reference Esn,Activation/Reactivation Failure,15,CDMA
STRAIGHT_TALK,New,STAPI8PG64SVP4P,TF128PSIMC4N,33178,Supervisor Approval,Redemption Failure,20,GSM
STRAIGHT_TALK,New,STAPI8PC64GYR.2,TF256PSIMV9N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,10,CDMA
STRAIGHT_TALK,New,STZEZ557BGR7,TF128PSIMC4N,33178,Supervisor Approval,Redemption Failure,10,GSM
STRAIGHT_TALK,New,STZEZ557BGRCS7,TF128PSIMC4N,33178,Supervisor Approval,PIN Redeemed to Wrong Handset,20,GSM
STRAIGHT_TALK,New,STLML413DGP4P,TF128PSIMC4N,33178,Reference Esn,Upgrade Failure,20,GSM
