Status,PartNumber,SIM,Brand,DelaerID,PIN,Celltech,ZIP
New,NTZEZ828TGRCS,TF128PSIMT5N,NET10,6841,NTAPP60080ILDUP,GSM,33178
New,NT256PBYOPAPN,TF256PSIMV9ND,NET10,24940,NTAPP6U040,GSM,33178
New,PHNT64PSIMT5BMB,TF64PSIMT5BMB,NET10,24940,NTAPPU0001,GSM,33178
New,PHNT64PSIMT5BMB,TF64PSIMT5BMB,NET10,24940,NTAPP6U040,GSM,33178
New,PHNT64PSIMT5BMB,TF64PSIMT5BMB,NET10,24940,NTAPPU0001,GSM,33178
New,PHNT64PSIMT5BMB,TF64PSIMT5BMB,NET10,24940,NTAPP6U040,GSM,33178
New,PHNT128PSIMT5N,TF128PSIMT5ND,NET10,24940,NTAPPU0001,GSM,33178
New,PHNT128PSIMT5N,TF128PSIMT5ND,NET10,24940,NTAPP6U040,GSM,33178
New,PHNT128PSIMT5N,TF128PSIMT5ND,NET10,24940,NTAPPU0001,GSM,33178
New,PHNT128PSIMT5N,TF128PSIMT5ND,NET10,24940,NTAPP6U040,GSM,33178
New,PHNT128PSIMT5N,TF128PSIMT5ND,NET10,24940,NTAPP60080ILDUP,GSM,33178
