Status,PartNumber,ZipCode,SIM,PIN,CellTech
New,SMZEZ232TGGY,33178,SM128PSIMT5RM,SMNAPP0040UNL,GSM
New,SMLGL83BG,33178,SM128PSIMT5N,SMNAPP0025TT,GSM
New,SMZEZ986DG,33178,SM128PSIMT5N,SMNAPP0040UNL,GSM
New,SMHUH1511DGSV,33178,SM128PSIMT5N,SMNAPP0040UNL,GSM
New,SMSAS550TGP,33178,SM128PSIMT5N,SMNAPP0040UNL,GSM
New,GPHUH1511DGSVP5-5,33178,SM128PSIMT5N,SMNAPP0040UNL,GSM
New,SMALA570BGP5DG,33178,SM128PSIMT5RM,SMNAPP0050BBUNL,GSM
New,SMZEZ716BG3P5,33178,SM128PSIMT5RM,SMNAPP0025TT,GSM
New,SMZEZ828TG3P5,33178,SM128PSIMT5N,SMNAPP0050BBUNL,GSM
New,SMHUH891GR5,33178,SM128PSIMT5RM,SMNAPP0050BBUNL,GSM
New,SMHUH871GDG,33178,SM128PSIMT5RM,SMNAPP20070ILDUP,GSM
New,PHSM64PSIMT5BLC,33178,SM64PSIMT5BLC,SMNAPP60BBUNL,GSM
New,PHSM64PSIMT5BLC,33178,SM64PSIMT5BLC,SMNAPPMB0020,GSM
New,PHSM64PSIMT5B,33178,SM64PSIMT5B,SMNAPP0025TT,GSM
New,PHSM64PSIMT5MB,33178,SM64PSIMT5B,SMNAPP0050BBUNL,GSM
New,PHSM64PSIMT5MB,33178,SM64PSIMT5MB,SMNAPP20070ILDUP,GSM
New,PHSM64PSIMT5BLC,33178,SM64PSIMT5B,SMNAPP30060,GSM
New,PHSM64PSIMT5B,33178,SM64PSIMT5B,SMNAPPMB0040,GSM
New,PHSM64PSIMT5MB,19715,SM64PSIMT5MB,SMNAPP0040UNL,GSM
Past Due,PHSM64PSIMT5MB,33178,SM64PSIMT5MB,SMNAPP0050BBUNL,GSM
New,SMZEZ836BG,33178,SM128PSIMT5N,SMNAPP0025TT,GSM
New,SMZEZ798BG,33178,SM128PSIMT5RM,SMNAPP0040UNL,GSM
New,SMLGL59BG,33178,SM128PSIMT5N,SMNAPP0025TT,GSM
New,SMLGL63BG,33178,SM128PSIMT5N,SMNAPP0040UNL,GSM
