Status,PartNumber,ZipCode,SIM,PIN1,CellTech,PIN2
New,PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0025,GSM,GSAPPU0035
New,PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0035,GSM,GSAPPU0045
New,PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0035,GSM,GSAPPU0065ILD
New,PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0045,GSM,GSAPPU0055
New,PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0045,GSM,GSAPPU0055
New,PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0055,GSM,GSAPPU0045
New,PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0055,GSM,GSAPPU0045
New,PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0065ILD,GSM,GSAPPU0035
New,PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0045,GSM,GSAPPU0035
New,PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0035,GSM,GSAPPU0025
